################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
GOLD SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'cops in republican senate office disabled protesters ; reports of serious injuries'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0002495326, 5.213901e-06, 0.00012349851, 3.5382723e-06, 1.3523551e-05, 0.79856765, 0.5291585, 0.037415486, 1.4580168e-05, 4.093028e-05, 2.468763e-06, 0.00019205383, 5.607349e-06]
GOLD TOK: 	 [['violently']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump caught in fake news creation news creation scandal that he will never recover from ( details )'
GOLD SEQ: 	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
PRED SEQ:	 b'trump caught in fake news creation news creation news scandal that he will never recover from ( details )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.05445074, 0.16412383, 0.00035778628, 0.26747942, 0.0009216847, 0.0061873808, 0.0012345873, 0.0075117075, 0.4074551, 0.0006673812, 0.01008641, 0.0085455915, 0.0060035437, 0.004852446, 4.560841e-05, 3.2194115e-05, 0.0024875922, 1.4140864e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['news']]
################################################################################
IN SEQ: 	 b'watch go ##p rep media claim media is to blame for trump attacking his own attorney'
GOLD SEQ: 	 b'watch go ##p rep ridiculous ##ly claim media is to blame for trump attacking his own attorney general'
PRED SEQ:	 b'watch go ##p rep media claim media is to blame for trump attacking his own attorney'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.022488061, 0.00041529065, 0.0001588469, 0.06440554, 0.05922873, 0.6212038, 0.020096876, 0.0003492349, 5.0976625e-05, 0.0005550409, 2.0227526e-05, 0.00031998145, 0.15653206, 0.0014834575, 0.0074544847, 0.00028721394]
GOLD TOK: 	 [['ridiculous', '##ly'], ['general']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD SEQ: 	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
PRED SEQ:	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.31117618, 0.21453749, 0.02486892, 0.04295516, 6.3613545e-05, 0.00014719648, 1.2031635e-05, 0.005562661, 0.0021121667, 5.3866337e-05, 3.866792e-06, 0.003718358, 0.00027832564, 0.18736616, 0.08697361, 0.14106964, 0.10514716, 0.02548692, 0.004331942, 0.0028962796, 0.0067431307, 0.1776621]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump adviser : god has given trump authority to take out kim jong un'
GOLD SEQ: 	 b'fan ##atic ##al trump adviser : god has given trump authority to take out kim jong un'
PRED SEQ:	 b'trump adviser : god has given trump authority to take out kim jong un'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03673075, 0.19908184, 0.00024711151, 0.5701867, 0.0037310272, 0.00049007434, 0.026923638, 0.040225092, 4.7622343e-05, 0.009977314, 0.0011120521, 0.00016014889, 1.5516143e-05, 9.235917e-06]
GOLD TOK: 	 [['fan', '##atic', '##al']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : robert reich silence ##s every trump supporter with 1 fact'
GOLD SEQ: 	 b'breaking : robert reich silence ##s every trump supporter with 1 simple fact'
PRED SEQ:	 b'breaking : robert reich silence ##s every trump supporter with 1 fact'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0059734457, 0.00013828216, 2.4793124e-05, 0.00027495256, 0.20333423, 0.39562276, 0.012088694, 0.0029748767, 0.006945706, 0.001034056, 0.020673227, 0.12589529]
GOLD TOK: 	 [['simple']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'here the main things the media needs to change when covering trump'
GOLD SEQ: 	 b'here ##s one of the main things the media needs to change when covering trump'
PRED SEQ:	 b'here the main things the media needs to change when covering trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2077156, 0.0032063657, 0.02357904, 0.02365324, 0.005031179, 0.0048441035, 0.31544328, 0.00043566007, 0.01090617, 0.00043545497, 0.060477853, 0.33524558]
GOLD TOK: 	 [['##s', 'one', 'of']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
GOLD SEQ: 	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
PRED SEQ:	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.29300693, 0.011470511, 0.018640416, 0.020709362, 0.002336754, 0.11411342, 0.040644597, 0.0010200047, 0.28175795, 0.37680897, 0.00037293156, 0.00019413058, 0.0016347598, 0.00037829674, 0.036215212, 0.018773425, 0.00056455686, 0.00037044022]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mitch mcconnell takes aim at trump for praising nazis'
GOLD SEQ: 	 b'mitch mcconnell takes aim at trump for praising nazis'
PRED SEQ:	 b'mitch mcconnell takes aim at trump for praising nazis'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00039230724, 0.000502307, 0.048953198, 0.013359006, 0.00020392198, 0.0005827003, 0.017049968, 0.4485391, 0.23944703]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD SEQ: 	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
PRED SEQ:	 b'fe ##cal bacteria found in drinks at mcdonald ##s , burger king and k ##fc'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.33167294, 0.07372264, 0.011187713, 0.001516753, 0.00013915927, 0.6013641, 0.004554064, 0.008944167, 0.0023045945, 1.0190754e-05, 4.6310175e-05, 9.417283e-05, 1.48739e-05, 0.00043814894, 0.00010957492]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'scar ##am ##ucci ##s wife filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD SEQ: 	 b'scar ##am ##ucci ##s wife just filed for divorce all because of donald trump ! ( t ##wee ##t )'
PRED SEQ:	 b'scar ##am ##ucci ##s wife filed for divorce all because of donald trump ! ( t ##wee ##t )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.013812034, 0.0069840574, 0.013481036, 0.015466391, 0.066216305, 0.000504808, 3.0589297e-05, 0.00014359043, 0.456687, 0.010181526, 6.433954e-05, 6.278296e-05, 4.9267215e-05, 0.017959747, 0.0011167156, 0.00030008174, 0.0014391067, 0.00072024716, 1.5714393e-05]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how bush , clinton , obama said north korea'
GOLD SEQ: 	 b'how bush , clinton , obama handled north korea'
PRED SEQ:	 b'how bush , clinton , obama said north korea'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.13933124, 0.0007983556, 1.8580147e-05, 0.0005197734, 1.9378185e-05, 0.003797687, 0.69911265, 0.004210119, 0.00018838799]
GOLD TOK: 	 [['handled']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'paul ryan bra ##gs about trump giving people a choice to live or die ( video )'
GOLD SEQ: 	 b'paul ryan bra ##gs about trump ##care giving people a choice to live or die ( video )'
PRED SEQ:	 b'paul ryan bra giving trump people a choice to live or die ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.7362477e-06, 1.1697147e-06, 0.9983004, 0.9987469, 6.5957734e-05, 8.805021e-06, 3.6080583e-06, 7.688261e-06, 8.2646983e-07, 1.6059798e-06, 6.494038e-07, 1.104524e-06, 1.2170602e-06, 2.0233344e-06, 8.80177e-07, 4.020601e-06, 6.669382e-07]
GOLD TOK: 	 [['##care']]
PRED TOK: 	 [['trump']]
################################################################################
IN SEQ: 	 b'robert lee iv honors heather hey ##er , racism at mtv video music awards ( video )'
GOLD SEQ: 	 b'robert lee iv honors heather hey ##er , den ##oun ##ces racism at mtv video music awards ( video )'
PRED SEQ:	 b'robert lee iv honors heather hey ##er , at mtv video music awards ( video )'
