################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
GOLD SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'cops in republican senate office with disabled protesters ; reports of serious injuries'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10492796, 0.2037833, 0.28657442, 0.27502564, 0.33409208, 0.26640284, 0.20386435, 0.1767827, 0.013575137, 0.17814033, -0.041101567, 0.13629277, 0.16777897]
GOLD TOK: 	 [['violently']]
PRED TOK: 	 [['with']]
################################################################################
IN SEQ: 	 b'trump caught in fake news creation news creation scandal that he will never recover from ( details )'
GOLD SEQ: 	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
PRED SEQ:	 b'trump caught in fake news creation news creation scandal that he will never recover from ( details )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11028311, 0.10284591, -0.08845177, 0.105419435, 0.19284469, 0.23597206, 0.2622813, 0.2663242, 0.35122657, 0.25780374, 0.24028563, 0.048371598, 0.026431352, 0.2035971, 0.001028657, 0.11131972, -0.09791061, -0.15009443]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch go ##p rep media claim media is to blame for trump attacking his own attorney'
GOLD SEQ: 	 b'watch go ##p rep ridiculous ##ly claim media is to blame for trump attacking his own attorney general'
PRED SEQ:	 b'watch go ##p rep media claim media is to blame for trump attacking his own attorney'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.019792035, -0.03738627, 0.017368052, 0.05211112, 0.15505141, 0.101253495, 0.009328574, 0.068359435, 0.13976808, 0.108747646, -0.10853368, 0.1326867, 0.20720392, -0.13102639, -0.205159, -0.17124441]
GOLD TOK: 	 [['ridiculous', '##ly'], ['general']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD SEQ: 	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
PRED SEQ:	 b'woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.15579866, 0.060076416, 0.021475226, 0.17978701, 0.12830453, 0.12265445, -0.02192086, 0.26042193, 0.05874449, 0.18440439, 0.3723548, -0.21478567, 0.021601427, -0.0053619146, -0.079681724, -0.16506702, -0.07921933, -0.06876318, -0.08289541, -0.35043138, -0.04912661, -0.052812725]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump adviser : god has given trump authority to take out kim jong un'
GOLD SEQ: 	 b'fan ##atic ##al trump adviser : god has given trump authority to take out kim jong un'
PRED SEQ:	 b'trump adviser : god has given trump authority to take out kim jong un'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24698703, 0.16361392, 0.1924527, 0.27319467, -0.06347372, 0.10958288, 0.09998436, 0.17402461, 0.04352972, 0.15098049, -0.037640043, 0.29182145, 0.19800663, 0.18966237]
GOLD TOK: 	 [['fan', '##atic', '##al']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : robert reich silence ##s every trump supporter with 1 fact'
GOLD SEQ: 	 b'breaking : robert reich silence ##s every trump supporter with 1 simple fact'
PRED SEQ:	 b'breaking : robert reich claims to silence every trump supporter with 1 fact'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.044818573, -0.07567504, 0.4859618, 0.0818542, 0.24114725, 0.09428319, 0.20821512, 0.02743867, -0.035298996, -0.1487856, -0.11733088, -0.01772365]
GOLD TOK: 	 [['simple']]
PRED TOK: 	 [['claims', 'to']]
################################################################################
IN SEQ: 	 b'here the main things the media needs to change when covering trump'
GOLD SEQ: 	 b'here ##s one of the main things the media needs to change when covering trump'
PRED SEQ:	 b'here the main things the media needs to change when covering of the republic of trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.061646834, 0.18571305, 0.09068795, -0.038489595, 0.17281976, 0.09906843, 0.04093515, -0.0028205365, 0.03287679, -0.13022774, 0.08459721, 0.026149541]
GOLD TOK: 	 [['##s', 'one', 'of']]
PRED TOK: 	 [['of', 'the', 'republic', 'of']]
################################################################################
IN SEQ: 	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
GOLD SEQ: 	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
PRED SEQ:	 b'reporter calls out trump to his face during the press briefing for the whole world to see'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
