################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
GOLD SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'cops in republican senate office with disabled protesters ; reports of serious injuries'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.11480084, -0.10280979, -0.14652699, -0.054409206, -0.15524876, -0.029182434, -0.1368407, -0.057328045, -0.14142996, -0.080087125, -0.07470429, -0.12960127, -0.08289766]
GOLD TOK: 	 [['violently']]
PRED TOK: 	 [['with']]
################################################################################
IN SEQ: 	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
GOLD SEQ: 	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
PRED SEQ:	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.087013125, -0.00048455596, -0.12279728, -0.12697563, -0.05961275, -0.1624045, -0.16806653, -0.26352447, 0.13608645, -0.08331056, -0.061783966, -0.061669722, 0.07264818, 0.00089012086, 0.109244704, -0.06465924]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch go ##p rep claim media is to blame for trump attacking his own attorney general'
GOLD SEQ: 	 b'watch go ##p rep ridiculous ##ly claim media is to blame for trump attacking his own attorney general'
PRED SEQ:	 b'watch go ##p rep claim media is to blame for trump attacking his own attorney general'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.058109343, -0.1591594, -0.13241325, -0.03640674, 0.0734926, -0.11432767, -0.13284187, -0.061114207, -0.13880527, -0.1507524, -0.027896948, -0.0016868822, 0.12913866, 0.17638934, 0.1747973, -0.04739259]
GOLD TOK: 	 [['ridiculous', '##ly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD SEQ: 	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
PRED SEQ:	 b'woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.33616439, 0.3094709, 0.39999518, 0.23222512, 0.08357257, 0.08970621, 0.15143317, 0.3730005, 0.21094793, 0.32512766, 0.2537557, 0.24305415, 0.22328863, 0.30155677, 0.077188656, 0.11497581, 0.27228713, 0.30407166, 0.21223012, 0.16264956, 0.15362267]
GOLD TOK: 	 [['racist']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump adviser : god has given trump authority to take out kim jong un'
GOLD SEQ: 	 b'fan ##atic ##al trump adviser : god has given trump authority to take out kim jong un'
PRED SEQ:	 b'trump adviser : god has given trump authority to take out kim jong un'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.058137834, -0.15547854, -0.5428861, -0.20596527, -0.19866943, -0.123050064, -0.1817023, 0.124424055, -0.033253223, 0.20580813, -0.006695509, -0.1944052, -0.16069609, -0.10075694]
GOLD TOK: 	 [['fan', '##atic', '##al']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : robert reich claims to silence every trump supporter with 1 simple fact'
GOLD SEQ: 	 b'breaking : robert reich silence ##s every trump supporter with 1 simple fact'
PRED SEQ:	 b'breaking : robert reich claims to silence every trump supporter with 1 simple fact'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.28711653, -0.081981085, 0.06818672, 0.10481729, 0.16590926, 0.051252827, 0.17198575, 0.08605481, -0.018886913, 0.20977597, -0.006560892, 0.25852764, 0.30029964, 0.25770965]
GOLD TOK: 	 [['##s']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'here ##s one of the main things the media needs to change when covering'
GOLD SEQ: 	 b'here ##s one of the main things the media needs to change when covering trump'
PRED SEQ:	 b'here is the main things the media needs to change when covering'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.35540348, 0.15784809, 0.15346926, 0.26640248, 0.28574765, 0.114369765, 0.17538303, 0.29081202, 0.17890699, 0.16402018, 0.32469606, 0.26254863, 0.16936567, 0.0061736554]
GOLD TOK: 	 [['trump']]
PRED TOK: 	 [['is']]
################################################################################
IN SEQ: 	 b'reporter calls out trump to his face during the press briefing for the whole world to see'
GOLD SEQ: 	 b'reporter calls out trump to his face during w ##h press briefing for the whole world to see'
PRED SEQ:	 b'reporter calls out trump to his face during the press briefing for the whole world to see'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
