################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
GOLD SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00024421138, 3.9699116e-06, 7.859565e-05, 2.9428536e-06, 5.8401633e-06, 0.95932454, 0.019302217, 0.008237761, 0.0005858017, 5.3001104e-06, 2.0396028e-05, 2.0767873e-06, 3.8402235e-05, 3.4698958e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
GOLD SEQ: 	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
PRED SEQ:	 b'trump caught in fake news creation news creation scandal that he will never recover from ( details )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.05119463, 0.19315016, 0.000381839, 0.186017, 0.0009206834, 0.014241961, 0.4969404, 0.0009403963, 0.009836801, 0.0072585503, 0.006405505, 0.004070064, 2.834347e-05, 1.7251485e-05, 0.0014531519, 6.9120824e-06]
GOLD TOK: 	 []
PRED TOK: 	 [['news', 'creation']]
################################################################################
IN SEQ: 	 b'watch go ##p rep ridiculous ##ly claim media is to blame for trump attacking his own attorney general'
GOLD SEQ: 	 b'watch go ##p rep ridiculous ##ly claim media is to blame for trump attacking his own attorney general'
PRED SEQ:	 b'watch go ##p rep media claim media is to blame for trump attacking his own attorney'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [7.082654e-07, 6.2750996e-07, 6.185466e-07, 8.8073034e-07, 0.99990785, 0.99989355, 3.1802474e-06, 1.8340704e-06, 6.0969495e-07, 6.4490155e-07, 6.0369905e-07, 5.543156e-07, 6.522583e-07, 2.2490356e-06, 7.45372e-07, 9.880008e-07, 6.015743e-07, 5.81063e-07]
GOLD TOK: 	 []
PRED TOK: 	 [['media']]
################################################################################
IN SEQ: 	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD SEQ: 	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
PRED SEQ:	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.31117618, 0.21453749, 0.024737682, 0.04295516, 6.3613545e-05, 0.00014719648, 1.2031635e-05, 0.0055466387, 0.002098056, 5.3959186e-05, 3.866792e-06, 0.0037173263, 0.00027832564, 0.18791, 0.08697361, 0.1425465, 0.1062945, 0.025540717, 0.004331942, 0.0028962796, 0.0067301383, 0.17737868]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fan ##atic ##al trump adviser : god has given trump authority to take out kim jong un'
GOLD SEQ: 	 b'fan ##atic ##al trump adviser : god has given trump authority to take out kim jong un'
PRED SEQ:	 b'trump adviser : god has given trump authority to take out kim jong un'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.9905516, 0.99929047, 0.9983032, 5.378432e-05, 6.38323e-05, 1.5003036e-06, 9.251468e-05, 2.9040066e-06, 1.1324911e-06, 6.5109443e-06, 5.1679126e-06, 8.2491226e-07, 5.1008074e-06, 2.2629167e-06, 1.2366506e-06, 1.0499483e-06, 8.46525e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : robert reich silence ##s every trump supporter with 1 simple fact'
GOLD SEQ: 	 b'breaking : robert reich silence ##s every trump supporter with 1 simple fact'
PRED SEQ:	 b'breaking : robert reich silence ##s every trump supporter with 1 fact'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0024063932, 0.00022743075, 2.8860584e-05, 0.00035877438, 0.030761754, 0.0797678, 0.004532774, 0.0017152701, 0.0018611391, 0.0010928187, 0.033738215, 0.59208405, 0.042319234]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'here ##s one of the main things the media needs to change when covering trump'
GOLD SEQ: 	 b'here ##s one of the main things the media needs to change when covering trump'
