################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
GOLD SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12570661, 0.099908136, 0.14914575, 0.01648651, 0.17680217, 0.08971875, 0.122413665, 0.2328887, 0.1640521, 0.13256522, 0.23292944, 0.2036012, 0.2802921, 0.2159519]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
GOLD SEQ: 	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
PRED SEQ:	 b'trump caught in fake news creation scandal that he will never recover from ( details )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.20279293, 0.021361262, 0.12294599, -0.030355781, -0.12945427, -0.06566127, 0.09847773, 0.24062875, -0.05698913, 0.21821877, 0.40847284, 0.35830408, 0.10014302, -0.13778654, 0.02021671, -0.02621831]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch go ##p rep ridiculous ##ly claim media is to blame for trump attacking his own attorney general'
GOLD SEQ: 	 b'watch go ##p rep ridiculous ##ly claim media is to blame for trump attacking his own attorney general'
PRED SEQ:	 b'watch go ##p rep claim media is to blame for trump attacking his own attorney general'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.19799875, -0.19436756, -0.060604334, 0.090610586, 0.17710528, 0.286615, 0.1811752, -0.0725815, 0.21745469, 0.42154732, 0.5630518, 0.33586302, 0.10071851, 0.101629496, -0.04725589, 0.05035889, 0.067783535, 0.08670682]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD SEQ: 	 b'racist woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
PRED SEQ:	 b'woman has total melt ##down in ca target store , calls employees f * ck ##ing sand n * g ##gers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.23239742, 0.24360825, 0.22239487, 0.25973397, 0.52599555, 0.4653116, 0.28641328, 0.15621753, 0.2418054, 0.40904862, 0.19564827, 0.08549628, 0.0702504, 0.17723075, -0.26574868, 0.07474214, 0.1486972, 0.103521094, 0.17192021, -0.22086136, 0.12410955, 0.05150929]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fan ##atic ##al trump adviser : god has given trump authority to take out kim jong un'
GOLD SEQ: 	 b'fan ##atic ##al trump adviser : god has given trump authority to take out kim jong un'
PRED SEQ:	 b'trump adviser : god has given trump authority to take out kim jong un'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.049806535, -0.060500044, 0.09485584, 0.1223484, 0.18410417, 0.0487878, -0.05419637, -0.048004895, 0.056876555, -0.09208584, -0.21530856, 0.048542447, 0.09885581, 0.05656356, 0.25950563, 0.1619153, 0.20001706]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : robert reich silence ##s every trump supporter with 1 simple fact'
GOLD SEQ: 	 b'breaking : robert reich silence ##s every trump supporter with 1 simple fact'
PRED SEQ:	 b'breaking : robert reich claims to silence every trump supporter with 1 simple fact'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.076444976, 0.06951414, 0.23068994, 0.23683739, 0.33484036, 0.2503467, 0.113643944, -0.07018403, -0.056000784, 0.039016366, 0.033056736, 0.16190115, 0.0445803]
GOLD TOK: 	 []
PRED TOK: 	 [['claims', 'to']]
################################################################################
IN SEQ: 	 b'here ##s one of the main things the media needs to change when covering trump'
GOLD SEQ: 	 b'here ##s one of the main things the media needs to change when covering trump'
PRED SEQ:	 b'here ##s one of the main things the media needs to change when covering'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
