################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as ground ##less and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.7248214e-05, 7.057652e-06, 9.696157e-07, 3.525083e-06, 6.6720986e-07, 2.9570833e-06, 1.950225e-06, 6.2500516e-07, 9.801934e-07, 1.3715967e-06, 6.4463774e-07, 1.1818596e-06, 1.4100045e-06, 9.372541e-06, 3.3515291e-06, 2.9979621e-05, 1.7792901e-05, 0.00043074836, 1.6312675e-05, 3.6950605e-05, 0.99713, 0.9981552, 0.9978345, 0.9962178, 2.0494e-06, 1.1097854e-05, 8.985561e-07, 1.5558478e-06, 3.3133672e-06, 3.3160604e-06, 9.839058e-07, 2.4057351e-06, 7.923214e-07, 1.9406145e-06, 3.642288e-06, 4.1880453e-06, 6.482294e-07, 1.6809556e-06, 6.375365e-07, 6.2694685e-06, 2.0558191e-05, 1.6906565e-06, 1.4886302e-05, 1.1132697e-05, 9.466318e-07]
GOLD TOK: 	 [['ground', '##less']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the popular hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
PRED DIST: 	 [1.607808e-06, 1.6486035e-06, 1.0670594e-06, 8.823167e-07, 1.3735694e-06, 2.7577175e-06, 7.134141e-07, 1.3311823e-06, 2.5428267e-06, 8.2965784e-07, 7.604973e-07, 6.807562e-07, 9.84932e-07, 9.02541e-07, 1.2419692e-06, 1.5131669e-06, 6.921713e-07, 8.065274e-07, 0.7447621, 8.5654517e-07, 8.66961e-07, 6.999398e-07, 6.21426e-07, 6.6946427e-07, 9.4588e-07, 1.5644671e-06, 0.072475016, 0.0002843924, 7.760361e-07, 6.92689e-07, 9.004313e-07, 6.853225e-07, 6.9239445e-07, 8.731309e-07, 7.962512e-07, 7.1274974e-07, 7.2582804e-07, 8.828352e-07, 1.0023294e-06, 1.7310991e-06, 6.9675036e-07, 9.499544e-07, 6.571183e-07, 7.307315e-07, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a disgrace ##d liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
PRED SEQ:	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
